student,qt,desktop applications
mentor,qt,desktop applications
student,javascript,programming languages
student,java,cloud
student,posix,operating systems
student,android,honeynet
mentor,android,honeynet
mentor,android,honeynet
mentor,middleware,cloud
mentor,middleware,cloud
mentor,python,image analysis
student,python,convex optimization
mentor,python,convex optimization
student,java,iot
mentor,java,iot
student,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
student,r,data science
mentor,r,data science
mentor,r,data science
student,java,natural language processing
mentor,java,natural language processing
mentor,java,natural language processing
mentor,java,natural language processing
mentor,python,music
student,c++,computer vision
mentor,c++,computer vision
mentor,c++,robotics
mentor,posix,operating systems
student,dlang,compilers
mentor,dlang,compilers
student,qt,desktop applications
mentor,qt,desktop applications
mentor,qt,desktop applications
student,python,image analysis
mentor,python,image analysis
student,php,mediawiki
mentor,php,mediawiki
student,c,cloud
mentor,c,cloud
student,php,mediawiki
mentor,php,mediawiki
mentor,php,mediawiki
student,lua,programming languages
mentor,lua,programming languages
student,qt,desktop applications
mentor,qt,desktop applications
mentor,qt,desktop applications
student,c,cloud
mentor,c,cloud
student,java,cloud
mentor,c,kernel
mentor,php,web development
mentor,php,web development
student,python,group chat
mentor,python,group chat
student,qt,desktop applications
mentor,qt,desktop applications
student,java,cloud
mentor,java,cloud
student,php,education
mentor,php,education
student,python,gis
mentor,python,gis
mentor,python,gis
mentor,java,cloud
mentor,android,natural language processing
student,python,engineering
mentor,python,engineering
mentor,java,cloud
mentor,c/c++,virtualization
student,php,education
mentor,php,education
student,qt,desktop applications
mentor,qt,desktop applications
student,python,math
mentor,python,math
mentor,javascript,unit testing
student,ruby on rails,censorship
mentor,ruby on rails,censorship
mentor,c++,machine translation
mentor,javascript,environment
student,java,testing
student,c,virtualization
student,mysql,databases
mentor,mysql,databases
student,ruby on rails,linux
mentor,ruby on rails,linux
student,c,virtualization
mentor,c,virtualization
mentor,scala,compilers
mentor,lua,programming languages
student,python,astronomy
mentor,java,fintech
mentor,python,gis
mentor,python,web
student,python,web
mentor,python,web
student,python,web
mentor,python,web
student,java,fintech
student,r,data science
mentor,r,data science
mentor,r,data science
student,python,web development
mentor,python,web development
student,java,cloud
mentor,java,cloud
student,java,cloud
mentor,java,cloud
student,java,cloud
mentor,java,cloud
student,java,cloud
